1,60,0,0,0.19,0
2,61,1,1,0.28,0.09
3,61,0,-1,0.36,0.08
4,61,0,0,0.4,0.04
5,59,-2,-2,0.57,0.17
6,62,3,5,0.87,0.3
7,62,0,-3,0.9,0.03
8,63,1,1,0.9,0
9,64,1,0,0.94,0.04
10,64,0,-1,0.95,0.01
11,64,0,0,0.97,0.02
12,64,0,0,0.97,0
13,62,-2,-2,1,0.03
14,63,1,3,0.95,-0.05
15,63,0,-1,0.72,-0.23
16,63,0,0,0.71,-0.01
17,63,0,0,0.74,0.03
18,63,0,0,0.72,-0.02
19,64,1,1,0.71,-0.01
20,64,0,-1,0.69,-0.02
21,64,0,0,0.68,-0.01
22,64,0,0,0.64,-0.04
23,64,0,0,0.64,0
24,64,0,0,0.64,0
25,65,1,1,0.64,0
26,65,0,-1,0.64,0
27,65,0,0,0.64,0
28,65,0,0,0.64,0
29,65,0,0,0.65,0.01
30,65,0,0,0.68,0.03
31,65,0,0,0.65,-0.03
32,64,-1,-1,0.63,-0.02
33,65,1,2,0.64,0.01
34,65,0,-1,0.63,-0.01
35,65,0,0,0.64,0.01
36,66,1,1,0.64,0
37,66,0,-1,0.71,0.07
38,66,0,0,0.67,-0.04
39,67,1,1,0.6,-0.07
40,67,0,-1,0.61,0.01
41,66,-1,-1,0.79,0.18
42,66,0,1,0.77,-0.02
43,66,0,0,0.78,0.01
44,66,0,0,0.78,0
45,66,0,0,0.79,0.01
46,66,0,0,0.72,-0.07
47,66,0,0,0.75,0.03
48,66,0,0,0.79,0.04
49,66,0,0,0.81,0.02
50,66,0,0,0.66,-0.15
51,66,0,0,0.66,0
52,67,1,1,0.65,-0.01
53,67,0,-1,0.65,0
54,67,0,0,0.63,-0.02
55,67,0,0,0.62,-0.01
56,67,0,0,0.62,0
57,67,0,0,0.58,-0.04
58,67,0,0,0.58,0
59,67,0,0,0.58,0
60,67,0,0,0.58,0
61,67,0,0,0.59,0.01
62,67,0,0,0.59,0
63,67,0,0,0.61,0.02
64,67,0,0,0.63,0.02
65,67,0,0,0.62,-0.01
66,67,0,0,0.64,0.02
67,67,0,0,0.64,0
68,67,0,0,0.63,-0.01
69,67,0,0,0.64,0.01
70,67,0,0,0.68,0.04
71,67,0,0,0.68,0
72,67,0,0,0.65,-0.03
73,68,1,1,0.65,0
74,68,0,-1,0.65,0
75,68,0,0,0.63,-0.02
76,67,-1,-1,0.64,0.01
77,67,0,1,0.65,0.01
78,67,0,0,0.65,0
79,67,0,0,0.6,-0.05
80,67,0,0,0.59,-0.01
81,67,0,0,0.6,0.01
82,67,0,0,0.61,0.01
83,68,1,1,0.59,-0.02
84,67,-1,-2,0.6,0.01
85,67,0,1,0.58,-0.02
86,67,0,0,0.58,0
87,67,0,0,0.58,0
88,67,0,0,0.59,0.01
89,68,1,1,0.55,-0.04
90,66,-2,-3,0.53,-0.02
91,67,1,3,0.5,-0.03
92,67,0,-1,0.52,0.02
93,67,0,0,0.55,0.03
94,67,0,0,0.55,0
95,67,0,0,0.54,-0.01
96,67,0,0,0.55,0.01
97,68,1,1,0.62,0.07
98,68,0,-1,0.64,0.02
99,68,0,0,0.78,0.14
100,68,0,0,0.79,0.01
101,68,0,0,0.79,0
102,68,0,0,0.78,-0.01
103,68,0,0,0.8,0.02
104,68,0,0,0.82,0.02
105,68,0,0,0.81,-0.01
106,68,0,0,0.74,-0.07
107,68,0,0,0.73,-0.01
108,68,0,0,1.08,0.35
109,68,0,0,1.07,-0.01
110,67,-1,-1,1.54,0.47
111,68,1,2,1.53,-0.01
112,68,0,-1,1.53,0
113,68,0,0,1.51,-0.02
114,68,0,0,1.51,0
115,68,0,0,1.52,0.01
116,68,0,0,1.54,0.02
117,68,0,0,1.29,-0.25
118,68,0,0,1.3,0.01
119,67,-1,-1,0.75,-0.55
120,67,0,1,0.76,0.01
121,67,0,0,0.77,0.01
122,67,0,0,0.78,0.01
123,68,1,1,0.78,0
124,68,0,-1,0.78,0
125,68,0,0,0.74,-0.04
126,69,1,1,0.64,-0.1
127,69,0,-1,0.63,-0.01
128,68,-1,-1,0.55,-0.08
129,68,0,1,0.62,0.07
130,68,0,0,0.62,0
131,68,0,0,0.58,-0.04
132,68,0,0,0.54,-0.04
133,67,-1,-1,1.17,0.63
134,67,0,1,1.18,0.01
135,67,0,0,1.18,0
136,67,0,0,1.19,0.01
137,67,0,0,1.19,0
138,67,0,0,1.16,-0.03
139,68,1,1,1.14,-0.02
140,68,0,-1,1.16,0.02
141,68,0,0,1.17,0.01
142,68,0,0,0.54,-0.63
143,68,0,0,0.52,-0.02
144,68,0,0,0.55,0.03
145,68,0,0,0.53,-0.02
146,68,0,0,0.52,-0.01
147,68,0,0,0.49,-0.03
148,68,0,0,0.48,-0.01
149,68,0,0,0.47,-0.01
150,68,0,0,0.48,0.01
151,68,0,0,0.49,0.01
152,68,0,0,0.5,0.01
153,68,0,0,0.48,-0.02
154,68,0,0,0.49,0.01
155,68,0,0,0.48,-0.01
156,68,0,0,0.48,0
157,69,1,1,0.54,0.06
158,69,0,-1,0.54,0
159,69,0,0,0.53,-0.01
160,69,0,0,0.5,-0.03
161,69,0,0,0.49,-0.01
162,69,0,0,0.48,-0.01
163,69,0,0,0.46,-0.02
164,69,0,0,0.49,0.03
165,69,0,0,0.48,-0.01
166,69,0,0,0.45,-0.03
167,69,0,0,0.43,-0.02
168,69,0,0,0.45,0.02
169,69,0,0,0.56,0.11
170,68,-1,-1,0.7,0.14
171,67,-1,0,0.7,0
172,68,1,2,0.77,0.07
173,68,0,-1,0.78,0.01
174,68,0,0,0.81,0.03
175,67,-1,-1,0.8,-0.01
176,67,0,1,0.81,0.01
177,66,-1,-1,0.82,0.01
178,66,0,1,0.77,-0.05
179,66,0,0,0.66,-0.11
180,66,0,0,0.67,0.01
181,66,0,0,0.61,-0.06
182,66,0,0,0.59,-0.02
183,66,0,0,0.57,-0.02
184,66,0,0,0.56,-0.01
185,66,0,0,0.58,0.02
186,66,0,0,0.58,0
187,66,0,0,0.58,0
188,66,0,0,0.58,0
189,67,1,1,0.58,0
190,67,0,-1,0.59,0.01
191,67,0,0,0.6,0.01
192,67,0,0,0.6,0
193,67,0,0,0.61,0.01
194,67,0,0,0.61,0
195,67,0,0,0.61,0
196,68,1,1,0.59,-0.02
197,69,1,0,0.61,0.02
198,69,0,-1,0.6,-0.01
199,69,0,0,0.62,0.02
200,69,0,0,0.62,0
201,69,0,0,0.62,0
202,69,0,0,0.62,0
203,69,0,0,0.6,-0.02
204,69,0,0,0.58,-0.02
