timestamp,cadence,power,SmO2
07:34:30,69,163,60
07:34:31,69,164,62
07:34:32,69,161,61
07:34:33,68,171,62
07:34:34,69,172,61
07:34:35,69,162,62
07:34:36,69,176,61
07:34:37,69,162,61
07:34:38,68,172,62
07:34:39,69,150,63
07:34:40,69,151,66
07:34:41,69,145,68
07:34:42,69,167,68
07:34:43,68,164,69
07:34:44,69,168,71
07:34:45,69,164,70
07:34:46,69,161,70
07:34:47,69,174,70
07:34:48,69,189,71
07:34:49,69,153,70
07:34:50,69,161,70
07:34:51,69,161,71
07:34:52,69,166,71
07:34:53,69,154,70
07:34:54,70,160,70
07:34:55,69,150,72
07:34:56,69,177,70
07:34:57,69,169,70
07:34:58,68,174,73
07:34:59,69,170,72
07:35:00,69,179,71
07:35:01,70,175,73
07:35:02,70,153,73
07:35:03,69,169,70
07:35:04,69,157,74
07:35:05,69,145,73
07:35:06,69,178,70
07:35:07,69,108,74
07:35:08,67,62,72
07:35:09,66,85,71
07:35:10,65,68,73
07:35:11,63,41,72
07:35:12,61,49,71
07:35:13,59,65,73
07:35:14,59,33,71
07:35:15,59,35,72
07:35:16,65,17,73
07:35:17,65,11,71
07:35:18,51,30,72
07:35:19,49,25,73
07:35:20,48,20,71
07:35:21,48,11,72
07:35:22,45,28,73
07:35:23,44,43,72
07:35:24,43,37,72
07:35:25,43,41,73
07:35:26,43,41,72
07:35:27,42,34,72
07:35:28,41,32,73
07:35:29,40,41,72
07:35:30,40,48,72
07:35:31,38,49,73
07:35:32,39,36,72
07:35:33,38,27,73
07:35:34,38,26,73
07:35:35,37,31,73
07:35:36,36,27,73
07:35:37,35,25,74
07:35:38,34,27,73
07:35:39,33,30,74
07:35:40,33,33,73
07:35:41,32,29,74
07:35:42,32,77,73
07:35:43,33,82,74
07:35:44,33,63,74
07:35:45,34,42,73
07:35:46,34,32,74
07:35:47,34,22,74
07:35:48,34,3,74
07:35:49,0,3,74
07:35:50,0,0,74
07:35:51,0,0,74
07:35:52,0,0,74
07:35:53,0,0,75
07:35:54,0,0,75
07:35:55,0,1,75
