Time,SmO2,HBDiff
122.01,70.29,47.83
122.07,70.71,47.78
122.16,70.51,47.50
122.28,70.36,47.26
122.37,70.55,47.10
122.46,71.24,47.02
122.55,72.00,47.01
122.67,72.10,47.10
122.76,71.86,47.27
122.85,71.62,47.49
123.03,71.18,47.71
123.06,70.97,47.97
123.15,71.62,48.29
123.27,72.59,48.51
123.36,73.08,48.55
123.45,72.98,48.53
123.54,72.78,48.56
123.66,72.86,48.59
123.78,73.18,48.60
123.84,73.53,48.62
123.96,73.58,48.62
124.05,73.39,48.67
124.14,73.35,48.81
