Time,SmO2,HBDiff
29.16,51.27,36.16
29.28,52.79,37.25
29.37,53.72,38.10
29.46,53.97,38.49
29.58,54.04,38.63
29.67,54.13,38.66
29.79,54.10,38.62
29.85,53.91,38.56
29.97,53.76,38.48
30.06,53.71,38.37
30.15,53.47,38.28
30.27,53.55,38.20
30.36,53.90,38.08
30.45,53.35,38.00
30.57,52.45,37.93
30.66,52.32,37.82
30.78,52.53,37.72
30.90,52.54,37.68
30.96,52.38,37.66
31.08,52.13,37.62
31.17,51.89,37.55
31.29,51.78,37.44
31.35,51.68,37.31
31.47,51.54,37.18
31.56,51.53,37.02
31.65,51.93,36.84
31.77,52.36,36.75
31.86,51.90,36.68
31.95,50.72,36.57
32.04,50.02,36.46
32.16,50.09,36.36
32.28,50.33,36.28
32.34,50.34,36.20
32.46,50.12,36.10
32.55,50.14,35.99
32.64,50.41,35.87
32.79,50.35,35.76
32.85,50.22,35.68
32.94,50.48,35.60
33.06,50.76,35.51
33.15,50.70,35.37
33.27,50.45,35.18
33.33,50.34,34.97
33.45,50.47,34.77
33.54,50.32,34.62
33.63,49.64,34.53
33.78,49.56,34.43
33.84,50.46,34.33
33.93,50.98,34.26
34.05,50.73,34.22
34.14,50.55,34.18
34.29,50.59,34.09
34.35,50.46,33.91
34.44,50.24,33.67
34.53,50.35,33.50
34.65,50.77,33.32
34.77,51.07,33.07
34.83,50.97,32.80
34.95,50.77,32.42
35.04,51.47,31.66
35.13,53.21,30.34
35.22,54.27,28.84
35.34,53.41,27.72
35.43,51.98,27.25
35.52,52.11,28.07
35.64,53.95,30.33
35.79,55.18,32.60
35.82,54.95,33.79
35.97,54.50,33.99
36.03,54.50,33.38
36.12,54.60,32.17
36.27,53.97,30.59
36.33,53.39,29.43
36.42,54.41,29.49
36.54,56.39,30.16
36.63,57.40,30.74
36.72,57.24,31.45
36.81,57.15,32.15
36.93,57.09,32.36
37.02,56.96,32.21
37.11,57.52,32.20
37.29,58.35,32.22
37.32,57.89,31.84
37.41,55.70,31.12
37.53,52.97,30.31
37.65,51.50,29.63
37.71,52.38,29.68
37.83,54.19,30.61
37.92,53.87,30.68
38.01,51.91,29.61
38.13,50.88,29.63
38.22,49.28,30.50
38.31,46.09,30.94
38.40,43.62,31.29
38.52,42.64,31.70
38.61,42.42,32.15
38.70,42.73,32.52
38.82,43.69,32.50
38.94,45.20,32.52
39.03,46.54,33.02
39.12,47.29,33.92
39.21,46.69,34.58
39.30,43.61,34.47
39.42,39.36,34.14
39.51,37.66,34.35
39.60,39.51,35.06
39.72,42.03,35.75
39.81,43.11,36.14
39.90,42.99,36.24
40.02,42.57,36.29
40.11,41.03,36.38
40.20,38.77,36.53
40.29,38.49,36.46
40.41,39.13,35.45
40.53,38.86,33.72
40.62,37.79,32.39
40.71,35.79,31.89
40.80,34.04,31.85
40.89,33.85,31.82
41.01,34.67,31.53
41.10,35.62,31.11
41.19,36.93,30.77
41.31,38.29,30.62
41.40,38.67,30.53
41.52,38.79,30.57
41.61,40.81,31.24
41.70,44.61,32.59
41.79,47.22,33.90
41.88,47.18,34.56
42.03,45.54,34.79
42.09,43.60,34.62
42.18,42.87,33.79
42.30,43.75,33.28
42.39,45.83,34.29
42.51,49.06,36.19
42.60,51.45,37.44
42.69,51.58,37.50
42.78,50.78,37.12
42.90,49.84,37.07
43.02,49.44,37.37
43.08,50.60,37.79
43.20,51.69,37.93
43.29,51.35,38.10
43.38,50.48,38.92
43.53,49.86,39.76
43.59,50.49,40.07
43.68,51.77,39.93
43.77,51.70,39.35
43.89,50.29,38.23
44.01,48.72,36.57
44.10,47.88,35.16
44.19,47.83,34.57
44.28,47.55,34.39
44.40,46.39,34.92
44.55,46.84,36.82
44.58,50.54,38.87
44.67,53.88,39.46
44.79,54.11,38.58
44.88,51.95,36.92
44.97,48.82,35.45
45.09,46.99,35.30
45.18,48.32,36.78
45.27,51.46,38.68
45.36,53.62,39.54
45.51,53.39,38.84
45.57,50.58,37.32
45.66,47.60,36.61
45.78,48.04,37.43
45.87,50.24,38.53
45.96,49.93,38.50
46.08,47.07,37.64
46.17,45.00,37.18
46.26,45.76,37.63
46.38,48.08,38.38
46.47,50.05,38.77
46.56,50.67,38.78
46.68,50.10,38.52
46.77,49.40,38.12
46.86,49.32,37.79
47.01,49.61,37.68
47.07,49.86,37.70
47.16,50.33,37.77
47.28,50.78,37.93
47.37,50.89,38.13
47.46,51.16,38.33
47.58,51.23,38.48
47.67,50.81,38.61
47.76,50.74,38.69
47.85,51.02,38.68
47.97,51.23,38.57
48.09,51.54,38.49
48.15,51.98,38.47
48.27,52.29,38.48
48.36,52.45,38.44
48.45,52.92,38.42
48.57,53.88,38.47
48.66,54.60,38.52
48.78,54.78,38.53
48.84,54.96,38.53
48.96,55.51,38.50
49.05,56.09,38.47
49.14,55.77,38.53
49.26,54.92,38.63
49.35,54.44,38.67
49.44,54.10,38.66
49.56,53.62,38.64
49.65,53.38,38.60
49.77,53.70,38.57
49.89,54.16,38.54
49.95,54.32,38.47
50.04,54.12,38.42
50.16,53.79,38.43
50.28,53.90,38.39
50.34,54.89,38.33
50.43,56.05,38.35
50.55,55.49,38.41
50.64,53.45,38.37
50.76,52.53,38.27
50.85,53.15,38.20
50.94,53.52,38.22
51.03,53.26,38.31
51.15,53.51,38.34
51.27,54.33,38.31
51.33,54.95,38.27
51.45,55.20,38.25
51.57,55.19,38.23
51.63,54.87,38.25
51.78,54.46,38.31
51.84,54.37,38.31
51.93,54.36,38.20
52.02,54.18,38.13
52.14,54.00,38.16
52.26,54.13,38.21
52.32,54.71,38.26
52.44,55.34,38.27
52.56,55.51,38.23
52.62,55.25,38.21
52.77,54.96,38.22
52.83,54.92,38.23
52.92,54.77,38.23
53.04,54.38,38.21
53.13,54.44,38.22
53.22,54.69,38.30
53.34,54.51,38.41
53.52,54.20,38.46
53.52,54.32,38.45
53.61,55.03,38.46
53.76,55.30,38.46
53.82,54.50,38.43
53.91,53.64,38.39
54.03,53.33,38.38
54.12,53.63,38.39
54.21,54.22,38.41
54.33,54.64,38.44
54.42,54.73,38.48
54.51,54.38,38.48
54.63,54.14,38.43
54.72,54.43,38.38
54.81,54.75,38.35
54.93,54.79,38.33
55.05,54.88,38.24
55.11,55.26,38.14
55.26,55.67,38.06
55.32,56.15,37.92
55.41,56.60,37.68
55.53,56.45,37.46
55.62,56.06,37.28
55.71,55.82,37.09
55.80,55.54,36.86
55.92,55.24,36.65
56.01,55.21,36.51
56.10,55.64,36.45
56.22,55.85,36.41
56.31,55.67,36.33
56.40,55.59,36.11
56.52,55.35,35.45
56.61,55.67,34.47
56.76,58.05,34.25
56.82,61.72,35.02
56.91,64.24,35.75
57.03,64.53,35.90
57.09,63.77,35.69
57.21,63.27,35.46
57.30,62.48,35.31
57.39,60.16,35.03
57.51,56.77,34.65
57.60,54.04,34.43
57.69,52.60,34.40
57.81,52.18,34.47
57.90,52.22,34.53
58.02,52.32,34.54
58.14,52.59,34.61
58.20,52.94,34.75
58.29,53.02,34.84
58.41,52.60,34.72
58.53,51.30,34.36
58.59,49.53,34.05
58.68,49.39,34.06
58.83,51.51,34.35
58.89,53.99,34.96
59.04,55.74,35.80
59.10,57.01,36.46
59.19,57.52,36.80
59.28,57.26,36.96
59.40,57.33,36.96
59.52,58.01,36.87
59.58,58.81,36.75
59.70,59.58,36.78
59.79,59.08,36.46
59.88,57.13,35.86
60.03,56.85,36.52
60.09,58.46,38.07
60.18,59.36,38.99
60.27,59.69,39.22
60.39,60.05,39.23
60.51,60.31,39.24
60.57,60.52,39.29
60.69,60.64,39.17
60.78,60.81,38.79
60.87,60.83,38.48
61.02,60.60,38.45
61.08,60.48,38.58
61.17,60.82,38.71
61.29,61.59,38.73
61.38,62.13,38.58
61.47,62.09,38.39
61.59,62.09,38.33
61.71,62.48,38.29
61.77,62.47,38.05
61.89,62.03,37.67
62.01,62.20,37.33
62.07,62.89,37.03
62.16,63.42,36.69
62.28,63.49,36.48
62.37,62.96,36.69
62.46,62.08,37.37
62.58,61.56,38.17
62.67,61.99,38.63
62.76,62.84,38.58
62.88,63.34,38.28
62.97,63.43,37.94
63.06,63.09,37.76
63.18,62.29,37.91
63.27,61.72,38.05
63.36,61.60,37.72
63.45,60.49,36.87
63.57,58.14,35.64
63.66,56.03,34.43
63.78,56.02,34.26
63.90,59.40,35.20
63.96,63.74,35.94
64.05,64.70,35.89
64.17,61.36,35.35
64.26,56.89,35.02
64.35,54.88,35.36
64.47,56.41,36.48
64.56,60.00,38.22
64.65,62.97,39.88
64.77,64.07,40.91
64.86,63.99,41.31
64.95,63.48,41.24
65.04,62.96,40.88
65.16,62.30,40.47
65.28,61.90,40.30
65.34,62.18,40.58
65.46,62.62,41.16
65.55,63.07,41.64
65.64,63.49,41.89
65.76,63.51,41.96
65.85,63.01,41.91
65.94,61.95,41.74
66.06,59.80,41.17
66.15,56.02,39.88
66.27,51.85,38.21
66.33,48.87,36.63
66.45,47.68,35.48
66.54,49.45,35.76
66.63,53.89,37.68
66.78,57.46,39.42
66.84,58.89,39.85
66.93,59.61,39.60
67.05,60.07,39.38
67.14,60.55,39.39
67.26,61.16,39.61
67.35,61.40,39.87
67.44,61.40,39.97
67.53,61.50,39.97
67.65,61.64,39.98
67.77,62.37,39.92
67.83,63.48,39.76
67.92,63.50,39.61
68.04,62.56,39.48
68.13,61.84,39.32
68.22,61.59,39.14
68.34,61.39,38.95
68.43,61.42,38.75
68.52,61.93,38.51
68.64,62.04,38.36
68.76,61.67,38.32
68.82,61.45,38.29
68.94,61.21,38.25
69.03,61.03,38.13
69.12,60.70,37.97
69.27,59.93,37.86
69.33,59.61,37.76
69.42,59.80,37.63
69.51,59.80,37.45
69.63,59.40,37.21
69.72,58.90,36.96
69.81,58.83,36.78
69.93,59.05,36.72
70.02,59.22,36.71
70.11,59.08,36.67
70.26,58.59,36.54
70.32,58.30,36.22
70.44,58.51,35.76
70.53,58.54,35.36
70.62,58.00,35.07
70.71,58.13,34.74
70.80,59.13,34.34
70.92,59.46,34.03
71.01,59.40,33.96
71.10,59.81,33.97
71.22,60.10,33.85
71.31,59.93,33.66
71.40,58.88,33.58
71.52,56.68,33.70
71.61,54.33,33.91
71.70,52.61,34.00
71.82,51.02,34.04
71.91,49.30,34.22
72.03,47.90,34.47
72.13,46.73,34.52
72.21,44.19,34.32
72.30,41.92,34.12
72.39,43.46,34.16
72.51,45.61,34.29
72.60,45.31,34.40
72.69,44.76,34.45
72.81,45.11,34.48
72.90,45.03,34.51
73.02,44.34,34.51
73.11,44.20,34.48
73.20,44.20,34.48
73.29,43.69,34.50
73.41,43.26,34.51
73.56,43.65,34.51
73.59,43.99,34.55
73.71,43.11,34.62
73.80,42.43,34.60
73.89,42.66,34.51
74.01,42.22,34.51
74.10,41.18,34.62
74.19,40.34,34.74
74.28,40.01,34.83
74.43,40.38,34.90
74.52,41.05,34.93
74.58,41.94,34.90
74.76,43.79,34.92
74.79,46.19,35.00
74.88,46.02,35.03
75.06,42.38,35.02
75.09,39.38,34.99
75.18,39.41,34.96
75.30,39.89,34.95
75.42,39.11,34.86
